id,instance,goal,result,duration,verdict,corr_result
62,aba_2000_0.1_5_10_7.aba,198,,600.0,TIMEOUT,YES
63,aba_100_0.3_5_10_7.aba,34,NO,3.48,corr,NO
64,aba_5000_0.3_10_10_5.aba,4437,,600.0,TIMEOUT,?
65,aba_25_0.1_10_5_6.aba,10,NO,4.41,inc,YES
66,aba_25_0.3_5_5_5.aba,14,NO,0.78,corr,NO
67,aba_2000_0.1_5_5_8.aba,596,,600.0,TIMEOUT,NO
68,aba_25_0.1_5_10_0.aba,25,NO,0.73,inc,YES
69,aba_25_0.3_10_10_8.aba,12,NO,1.16,corr,NO
70,aba_100_0.3_5_10_3.aba,2,YES,2.85,corr,YES
71,aba_25_0.1_10_5_9.aba,2,YES,0.86,corr,YES
72,aba_500_0.3_5_10_8.aba,375,,600.0,TIMEOUT,NO
73,aba_5000_0.3_10_10_6.aba,746,,600.0,TIMEOUT,?
74,aba_2000_0.1_10_5_9.aba,39,,600.0,TIMEOUT,NO
75,aba_500_0.1_5_10_1.aba,166,,600.0,TIMEOUT,YES
76,aba_25_0.1_5_10_5.aba,2,YES,1.04,corr,YES
77,aba_25_0.3_10_5_9.aba,21,NO,1.66,corr,NO
78,aba_25_0.1_10_10_3.aba,15,YES,2.05,corr,YES
79,aba_100_0.3_10_5_3.aba,93,,600.0,TIMEOUT,NO
80,aba_5000_0.3_5_5_3.aba,1482,,600.0,TIMEOUT,?
81,aba_500_0.3_5_10_2.aba,274,YES,32.79,corr,YES
